Order Date,Sales,year,month,day,day_of_week,quarter,sales_lag1,rolling_mean_7
2014-02-08,14.56,2014,2,8,5,1,180.32,138.362
2014-02-09,0.0,2014,2,9,6,1,14.56,108.12685714285713
2014-02-10,0.0,2014,2,10,0,1,0.0,94.25371428571428
2014-02-11,2043.4,2014,2,11,1,1,0.0,366.9702857142857
2014-02-12,129.568,2014,2,12,2,1,2043.4,385.48
2014-02-13,0.0,2014,2,13,3,1,129.568,338.264
2014-02-14,576.726,2014,2,14,4,1,0.0,394.89342857142856
2014-02-15,21.36,2014,2,15,5,1,576.726,395.86485714285715
2014-02-16,9.04,2014,2,16,6,1,21.36,397.15628571428573
2014-02-17,54.208,2014,2,17,0,1,9.04,404.90028571428576
2014-02-18,37.784,2014,2,18,1,1,54.208,118.38371428571425
2014-02-19,0.0,2014,2,19,2,1,37.784,99.87399999999995
2014-02-20,95.59,2014,2,20,3,1,0.0,113.52971428571425
2014-02-21,8.85,2014,2,21,4,1,95.59,32.404571428571394
2014-02-22,19.44,2014,2,22,5,1,8.85,32.13028571428568
2014-02-23,11.364,2014,2,23,6,1,19.44,32.46228571428568
2014-02-24,55.672,2014,2,24,0,1,11.364,32.671428571428535
2014-02-25,0.0,2014,2,25,1,1,55.672,27.273714285714252
2014-02-26,0.0,2014,2,26,2,1,0.0,27.273714285714252
2014-02-27,19.456,2014,2,27,3,1,0.0,16.397428571428538
2014-02-28,0.0,2014,2,28,4,1,19.456,15.133142857142825
2014-03-01,2203.151,2014,3,1,5,1,0.0,327.09185714285707
2014-03-02,202.384,2014,3,2,6,1,2203.151,354.3804285714285
2014-03-03,1345.8919999999998,2014,3,3,0,1,202.384,538.6975714285713
2014-03-04,370.452,2014,3,4,1,1,1345.8919999999998,591.6192857142856
2014-03-05,705.562,2014,3,5,2,1,370.452,692.413857142857
2014-03-06,0.0,2014,3,6,3,1,705.562,689.6344285714284
2014-03-07,1561.062,2014,3,7,4,1,0.0,912.6432857142855
2014-03-08,0.0,2014,3,8,5,1,1561.062,597.9074285714285
2014-03-09,0.0,2014,3,9,6,1,0.0,568.9954285714285
2014-03-10,741.956,2014,3,10,0,1,0.0,482.7188571428571
2014-03-11,918.314,2014,3,11,1,1,741.956,560.9848571428571
2014-03-12,0.0,2014,3,12,2,1,918.314,460.1902857142856
2014-03-13,0.0,2014,3,13,3,1,0.0,460.1902857142856
2014-03-14,2108.55,2014,3,14,4,1,0.0,538.4028571428571
2014-03-15,370.78200000000004,2014,3,15,5,1,2108.55,591.3717142857142
2014-03-16,471.92,2014,3,16,6,1,370.78200000000004,658.7888571428572
2014-03-17,3960.358,2014,3,17,0,1,471.92,1118.5605714285714
2014-03-18,28106.716,2014,3,18,1,1,3960.358,5002.618
2014-03-19,590.762,2014,3,19,2,1,28106.716,5087.012571428572
2014-03-20,0.0,2014,3,20,3,1,590.762,5087.012571428572
2014-03-21,4109.816,2014,3,21,4,1,0.0,5372.907714285714
2014-03-22,464.09299999999996,2014,3,22,5,1,4109.816,5386.237857142857
2014-03-23,945.064,2014,3,23,6,1,464.09299999999996,5453.829857142858
2014-03-24,65.38,2014,3,24,0,1,945.064,4897.404428571428
2014-03-25,459.146,2014,3,25,1,1,65.38,947.7515714285713
2014-03-26,145.13,2014,3,26,2,1,459.146,884.0898571428571
2014-03-27,0.0,2014,3,27,3,1,145.13,884.0898571428571
2014-03-28,1823.8039999999999,2014,3,28,4,1,0.0,557.5167142857142
2014-03-29,890.841,2014,3,29,5,1,1823.8039999999999,618.4807142857143
2014-03-30,1170.3220000000001,2014,3,30,6,1,890.841,650.6604285714285
2014-03-31,1959.552,2014,3,31,0,1,1170.3220000000001,921.2564285714285
2014-04-01,119.88799999999999,2014,4,1,1,2,1959.552,872.7909999999999
2014-04-02,1458.558,2014,4,2,2,2,119.88799999999999,1060.4235714285712
2014-04-03,233.45,2014,4,3,3,2,1458.558,1093.7735714285714
2014-04-04,475.844,2014,4,4,4,2,233.45,901.207857142857
2014-04-05,5295.098000000001,2014,4,5,5,2,475.844,1530.3874285714285
2014-04-06,1650.69,2014,4,6,6,2,5295.098000000001,1599.0114285714285
2014-04-07,1021.1700000000001,2014,4,7,0,2,1650.69,1464.9568571428572
2014-04-08,1958.75,2014,4,8,1,2,1021.1700000000001,1727.6514285714286
2014-04-09,0.0,2014,4,9,2,2,1958.75,1519.286
2014-04-10,0.0,2014,4,10,3,2,0.0,1485.936
2014-04-11,1915.24,2014,4,11,4,2,0.0,1691.564
2014-04-12,1912.123,2014,4,12,5,2,1915.24,1208.2818571428572
2014-04-13,638.576,2014,4,13,6,2,1912.123,1063.6941428571429
2014-04-14,0.0,2014,4,14,0,2,638.576,917.8127142857144
2014-04-15,294.71999999999997,2014,4,15,1,2,0.0,680.094142857143
2014-04-16,39.072,2014,4,16,2,2,294.71999999999997,685.6758571428571
2014-04-17,0.0,2014,4,17,3,2,39.072,685.6758571428571
2014-04-18,1020.532,2014,4,18,4,2,0.0,557.8604285714285
2014-04-19,205.47,2014,4,19,5,2,1020.532,314.05285714285714
2014-04-20,1250.45,2014,4,20,6,2,205.47,401.4634285714286
2014-04-21,845.36,2014,4,21,0,2,1250.45,522.2291428571428
2014-04-22,257.752,2014,4,22,1,2,845.36,516.9480000000001
2014-04-23,643.98,2014,4,23,2,2,257.752,603.3634285714286
2014-04-24,0.0,2014,4,24,3,2,643.98,603.3634285714286
2014-04-25,2379.9939999999997,2014,4,25,4,2,0.0,797.5722857142856
2014-04-26,282.568,2014,4,26,5,2,2379.9939999999997,808.5862857142856
2014-04-27,0.0,2014,4,27,6,2,282.568,629.9505714285714
2014-04-28,2578.476,2014,4,28,0,2,0.0,877.5385714285715
2014-04-29,768.8439999999999,2014,4,29,1,2,2578.476,950.5517142857143
2014-04-30,1048.74,2014,4,30,2,2,768.8439999999999,1008.3745714285714
2014-05-01,0.0,2014,5,1,3,2,1048.74,1008.3745714285714
2014-05-02,506.12,2014,5,2,4,2,0.0,740.6782857142858
2014-05-03,72.632,2014,5,3,5,2,506.12,710.6874285714285
2014-05-04,187.43200000000002,2014,5,4,6,2,72.632,737.4634285714285
2014-05-05,260.977,2014,5,5,0,2,187.43200000000002,406.3921428571429
2014-05-06,254.456,2014,5,6,1,2,260.977,332.90814285714293
2014-05-07,1091.35,2014,5,7,2,2,254.456,338.9952857142858
2014-05-08,1799.97,2014,5,8,3,2,1091.35,596.1338571428571
2014-05-09,394.48,2014,5,9,4,2,1799.97,580.1852857142858
2014-05-10,2343.799,2014,5,10,5,2,394.48,904.6377142857143
2014-05-11,1642.802,2014,5,11,6,2,2343.799,1112.5477142857144
2014-05-12,734.846,2014,5,12,0,2,1642.802,1180.243285714286
2014-05-13,898.382,2014,5,13,1,2,734.846,1272.2327142857143
2014-05-14,310.88,2014,5,14,2,2,898.382,1160.7369999999999
2014-05-15,0.0,2014,5,15,3,2,310.88,903.5984285714286
2014-05-16,289.28,2014,5,16,4,2,0.0,888.5698571428572
2014-05-17,91.68,2014,5,17,5,2,289.28,566.8385714285715
2014-05-18,948.9480000000001,2014,5,18,6,2,91.68,467.7165714285715
2014-05-19,91.62,2014,5,19,0,2,948.9480000000001,375.827142857143
2014-05-20,320.10400000000004,2014,5,20,1,2,91.62,293.21600000000007
2014-05-21,4264.3279999999995,2014,5,21,2,2,320.10400000000004,857.9942857142858
2014-05-22,180.93,2014,5,22,3,2,4264.3279999999995,883.8414285714287
2014-05-23,323.75800000000004,2014,5,23,4,2,180.93,888.7668571428572
2014-05-24,116.28,2014,5,24,5,2,323.75800000000004,892.2811428571429
2014-05-25,119.53999999999999,2014,5,25,6,2,116.28,773.7942857142856
2014-05-26,1325.718,2014,5,26,0,2,119.53999999999999,950.0939999999999
2014-05-27,2157.394,2014,5,27,1,2,1325.718,1212.564
2014-05-28,221.96800000000002,2014,5,28,2,2,2157.394,635.084
2014-05-29,0.0,2014,5,29,3,2,221.96800000000002,609.236857142857
2014-05-30,1924.913,2014,5,30,4,2,0.0,837.9732857142857
2014-05-31,773.7,2014,5,31,5,2,1924.913,931.8904285714286
2014-06-01,5188.5199999999995,2014,6,1,6,2,773.7,1656.0304285714285
2014-06-02,738.598,2014,6,2,0,2,5188.5199999999995,1572.1561428571426
2014-06-03,741.336,2014,6,3,1,2,738.598,1369.8621428571428
2014-06-04,456.272,2014,6,4,2,2,741.336,1403.3341428571428
2014-06-05,0.0,2014,6,5,3,2,456.272,1403.3341428571428
2014-06-06,1374.0010000000002,2014,6,6,4,2,0.0,1324.6324285714286
2014-06-07,281.397,2014,6,7,5,2,1374.0010000000002,1254.3034285714282
2014-06-08,2501.264,2014,6,8,6,2,281.397,870.4097142857144
2014-06-09,5463.008,2014,6,9,0,2,2501.264,1545.3254285714286
2014-06-10,491.55,2014,6,10,1,2,5463.008,1509.6417142857142
2014-06-11,0.0,2014,6,11,2,2,491.55,1444.4599999999998
2014-06-12,0.0,2014,6,12,3,2,0.0,1444.4599999999998
2014-06-13,14.52,2014,6,13,4,2,0.0,1250.2484285714286
2014-06-14,212.94,2014,6,14,5,2,14.52,1240.4688571428574
2014-06-15,942.9739999999999,2014,6,15,6,2,212.94,1017.856
2014-06-16,763.792,2014,6,16,0,2,942.9739999999999,346.5394285714286
2014-06-17,3418.5020000000004,2014,6,17,1,2,763.792,764.6754285714286
2014-06-18,139.8,2014,6,18,2,2,3418.5020000000004,784.6468571428571
2014-06-19,0.0,2014,6,19,3,2,139.8,784.6468571428571
2014-06-20,1828.9496,2014,6,20,4,2,0.0,1043.8510857142858
2014-06-21,4107.443,2014,6,21,5,2,1828.9496,1600.2086571428572
2014-06-22,1975.498,2014,6,22,6,2,4107.443,1747.7120857142856
2014-06-23,109.49600000000001,2014,6,23,0,2,1975.498,1654.2412285714288
2014-06-24,4.272,2014,6,24,1,2,109.49600000000001,1166.4940857142858
2014-06-25,792.76,2014,6,25,2,2,4.272,1259.7740857142858
2014-06-26,0.0,2014,6,26,3,2,792.76,1259.7740857142858
2014-06-27,616.14,2014,6,27,4,2,0.0,1086.5155714285715
2014-06-28,1645.791,2014,6,28,5,2,616.14,734.851
2014-06-29,46.68,2014,6,29,6,2,1645.791,459.3055714285714
2014-06-30,739.624,2014,6,30,0,2,46.68,549.3238571428572
2014-07-01,601.0239999999999,2014,7,1,1,3,739.624,634.5741428571428
2014-07-02,79.56,2014,7,2,2,3,601.0239999999999,532.6884285714285
2014-07-03,0.0,2014,7,3,3,3,79.56,532.6884285714285
2014-07-04,247.40800000000002,2014,7,4,4,3,0.0,480.01242857142853
2014-07-05,1444.104,2014,7,5,5,3,247.40800000000002,451.19999999999993
2014-07-06,1038.472,2014,7,6,6,3,1444.104,592.8845714285715
2014-07-07,241.19400000000002,2014,7,7,0,3,1038.472,521.6802857142857
2014-07-08,763.0740000000001,2014,7,8,1,3,241.19400000000002,544.8302857142857
2014-07-09,265.521,2014,7,9,2,3,763.0740000000001,571.3961428571429
2014-07-10,0.0,2014,7,10,3,3,265.521,571.3961428571429
2014-07-11,2187.206,2014,7,11,4,3,0.0,848.5101428571428
2014-07-12,1960.012,2014,7,12,5,3,2187.206,922.2112857142857
2014-07-13,351.216,2014,7,13,6,3,1960.012,824.0318571428571
2014-07-14,292.594,2014,7,14,0,3,351.216,831.3747142857143
2014-07-15,9.51,2014,7,15,1,3,292.594,723.7227142857143
2014-07-16,0.0,2014,7,16,2,3,9.51,685.791142857143
2014-07-17,0.0,2014,7,17,3,3,0.0,685.791142857143
2014-07-18,273.04,2014,7,18,4,3,0.0,412.33885714285714
2014-07-19,461.326,2014,7,19,5,3,273.04,198.24085714285715
2014-07-20,2285.786,2014,7,20,6,3,461.326,474.60800000000006
2014-07-21,1961.482,2014,7,21,0,3,2285.786,713.0205714285714
2014-07-22,1348.344,2014,7,22,1,3,1961.482,904.2825714285715
2014-07-23,2613.1839999999997,2014,7,23,2,3,1348.344,1277.5945714285715
2014-07-24,0.0,2014,7,24,3,3,2613.1839999999997,1277.5945714285715
2014-07-25,8341.289999999999,2014,7,25,4,3,0.0,2430.2017142857144
2014-07-26,5039.994,2014,7,26,5,3,8341.289999999999,3084.2971428571427
2014-07-27,580.06,2014,7,27,6,3,5039.994,2840.622
2014-07-28,193.152,2014,7,28,0,3,580.06,2588.0034285714282
2014-07-29,0.0,2014,7,29,1,3,193.152,2395.3828571428567
2014-07-30,1367.84,2014,7,30,2,3,0.0,2217.4765714285713
2014-07-31,0.0,2014,7,31,3,3,1367.84,2217.4765714285713
2014-08-01,228.328,2014,8,1,4,3,0.0,1058.482
2014-08-02,886.28,2014,8,2,5,3,228.328,465.0942857142857
2014-08-03,477.994,2014,8,3,6,3,886.28,450.51342857142856
2014-08-04,2743.154,2014,8,4,0,3,477.994,814.7994285714285
2014-08-05,2408.7239999999997,2014,8,5,1,3,2743.154,1158.902857142857
2014-08-06,262.89,2014,8,6,2,3,2408.7239999999997,1001.0528571428571
2014-08-07,0.0,2014,8,7,3,3,262.89,1001.0528571428571
2014-08-08,3955.629,2014,8,8,4,3,0.0,1533.5244285714286
2014-08-09,3605.6850000000004,2014,8,9,5,3,3955.629,1922.010857142857
2014-08-10,0.0,2014,8,10,6,3,3605.6850000000004,1853.726
2014-08-11,451.62,2014,8,11,0,3,0.0,1526.364
2014-08-12,1832.38,2014,8,12,1,3,451.62,1444.029142857143
2014-08-13,0.0,2014,8,13,2,3,1832.38,1406.4734285714287
2014-08-14,0.0,2014,8,14,3,3,0.0,1406.4734285714287
2014-08-15,842.7819999999999,2014,8,15,4,3,0.0,961.781
2014-08-16,853.092,2014,8,16,5,3,842.7819999999999,568.5534285714285
2014-08-17,500.342,2014,8,17,6,3,853.092,640.0308571428571
2014-08-18,0.0,2014,8,18,0,3,500.342,575.5137142857143
2014-08-19,1439.106,2014,8,19,1,3,0.0,519.3317142857143
2014-08-20,1838.722,2014,8,20,2,3,1439.106,782.0062857142857
2014-08-21,0.0,2014,8,21,3,3,1838.722,782.0062857142857
2014-08-22,23.104,2014,8,22,4,3,0.0,664.9094285714285
2014-08-23,565.224,2014,8,23,5,3,23.104,623.7854285714286
2014-08-24,59.74,2014,8,24,6,3,565.224,560.8422857142857
2014-08-25,1451.6499999999999,2014,8,25,0,3,59.74,768.2208571428572
2014-08-26,366.81,2014,8,26,1,3,1451.6499999999999,615.0357142857143
2014-08-27,2070.13,2014,8,27,2,3,366.81,648.0939999999999
2014-08-28,0.0,2014,8,28,3,3,2070.13,648.0939999999999
2014-08-29,832.3225,2014,8,29,4,3,0.0,763.6966428571428
2014-08-30,121.24,2014,8,30,5,3,832.3225,700.270357142857
2014-08-31,92.52,2014,8,31,6,3,121.24,704.9532142857142
2014-09-01,469.436,2014,9,1,0,3,92.52,564.6369285714286
2014-09-02,3254.15,2014,9,2,1,3,469.436,977.1140714285715
2014-09-03,22.08,2014,9,3,2,3,3254.15,684.5355000000001
2014-09-04,0.0,2014,9,4,3,3,22.08,684.5355000000001
2014-09-05,296.304,2014,9,5,4,3,0.0,607.9614285714285
2014-09-06,100.36,2014,9,6,5,3,296.304,604.9785714285715
2014-09-07,3523.875,2014,9,7,6,3,100.36,1095.172142857143
2014-09-08,14228.428,2014,9,8,0,3,3523.875,3060.7424285714287
2014-09-09,4043.5879999999997,2014,9,9,1,3,14228.428,3173.5192857142856
2014-09-10,1855.2279999999998,2014,9,10,2,3,4043.5879999999997,3435.397571428571
2014-09-11,127.95,2014,9,11,3,3,1855.2279999999998,3453.676142857143
2014-09-12,4904.66,2014,9,12,4,3,127.95,4112.0127142857145
2014-09-13,1275.408,2014,9,13,5,3,4904.66,4279.876714285714
2014-09-14,5023.716,2014,9,14,6,3,1275.408,4494.139714285714
2014-09-15,133.436,2014,9,15,0,3,5023.716,2480.5694285714285
2014-09-16,33.552,2014,9,16,1,3,133.436,1907.7071428571428
2014-09-17,820.523,2014,9,17,2,3,33.552,1759.892142857143
2014-09-18,0.0,2014,9,18,3,3,820.523,1741.6135714285715
2014-09-19,9338.637,2014,9,19,4,3,0.0,2375.038857142857
2014-09-20,5335.968000000001,2014,9,20,5,3,9338.637,2955.1188571428575
2014-09-21,2679.652,2014,9,21,6,3,5335.968000000001,2620.252571428572
2014-09-22,1240.266,2014,9,22,0,3,2679.652,2778.3711428571432
2014-09-23,10662.337000000001,2014,9,23,1,3,1240.266,4296.769
2014-09-24,211.96,2014,9,24,2,3,10662.337000000001,4209.831428571429
2014-09-25,354.88880000000006,2014,9,25,3,3,211.96,4260.529828571429
2014-09-26,1480.614,2014,9,26,4,3,354.88880000000006,3137.955114285715
2014-09-27,773.4399999999999,2014,9,27,5,3,1480.614,2486.1654000000003
2014-09-28,490.29200000000003,2014,9,28,6,3,773.4399999999999,2173.3996857142856
2014-09-29,8109.07,2014,9,29,0,3,490.29200000000003,3154.6574
2014-09-30,987.532,2014,9,30,1,3,8109.07,1772.5424
2014-10-01,4.71,2014,10,1,2,4,987.532,1742.9352571428572
2014-10-02,598.144,2014,10,2,3,4,4.71,1777.686
2014-10-03,862.683,2014,10,3,4,4,598.144,1689.4101428571428
2014-10-04,728.7479999999999,2014,10,4,5,4,862.683,1683.0255714285715
2014-10-05,191.9,2014,10,5,6,4,728.7479999999999,1640.3981428571426
2014-10-06,494.71,2014,10,6,0,4,191.9,552.6324285714286
2014-10-07,237.35999999999999,2014,10,7,1,4,494.71,445.465
2014-10-08,147.392,2014,10,8,2,4,237.35999999999999,465.8481428571428
2014-10-09,249.35999999999999,2014,10,9,3,4,147.392,416.0218571428572
2014-10-10,2049.386,2014,10,10,4,4,249.35999999999999,585.5508571428571
2014-10-11,1381.164,2014,10,11,5,4,2049.386,678.7531428571428
2014-10-12,58.53,2014,10,12,6,4,1381.164,659.7002857142858
2014-10-13,2212.182,2014,10,13,0,4,58.53,905.0534285714285
2014-10-14,4525.484,2014,10,14,1,4,2212.182,1517.6425714285713
2014-10-15,206.72400000000002,2014,10,15,2,4,4525.484,1526.1185714285714
2014-10-16,194.322,2014,10,16,3,4,206.72400000000002,1518.2559999999999
2014-10-17,136.068,2014,10,17,4,4,194.322,1244.9248571428568
2014-10-18,3134.916,2014,10,18,5,4,136.068,1495.4608571428573
2014-10-19,641.104,2014,10,19,6,4,3134.916,1578.685714285714
2014-10-20,1501.104,2014,10,20,0,4,641.104,1477.103142857143
2014-10-21,1356.602,2014,10,21,1,4,1501.104,1024.4057142857143
2014-10-22,223.808,2014,10,22,2,4,1356.602,1026.8462857142856
2014-10-23,0.0,2014,10,23,3,4,223.808,999.086
2014-10-24,56.49,2014,10,24,4,4,0.0,987.7177142857142
2014-10-25,103.882,2014,10,25,5,4,56.49,554.7128571428572
2014-10-26,447.88,2014,10,26,6,4,103.882,527.1094285714287
2014-10-27,22.32,2014,10,27,0,4,447.88,315.85457142857143
2014-10-28,1510.5819999999999,2014,10,28,1,4,22.32,337.8517142857143
2014-10-29,2813.8120000000004,2014,10,29,2,4,1510.5819999999999,707.8522857142858
2014-10-30,0.0,2014,10,30,3,4,2813.8120000000004,707.8522857142858
2014-10-31,5362.026,2014,10,31,4,4,0.0,1465.786
2014-11-01,4732.08,2014,11,1,5,4,5362.026,2126.957142857143
2014-11-02,2126.37,2014,11,2,6,4,4732.08,2366.7414285714285
2014-11-03,2784.163,2014,11,3,0,4,2126.37,2761.2904285714285
2014-11-04,6693.7480000000005,2014,11,4,1,4,2784.163,3501.7427142857146
2014-11-05,1694.564,2014,11,5,2,4,6693.7480000000005,3341.850142857143
2014-11-06,43.68,2014,11,6,3,4,1694.564,3348.090142857143
2014-11-07,1449.142,2014,11,7,4,4,43.68,2789.1067142857146
2014-11-08,333.576,2014,11,8,5,4,1449.142,2160.7490000000003
2014-11-09,1574.094,2014,11,9,6,4,333.576,2081.852428571429
2014-11-10,2002.556,2014,11,10,0,4,1574.094,1970.194285714286
2014-11-11,8114.548,2014,11,11,1,4,2002.556,2173.1657142857143
2014-11-12,1054.7612,2014,11,12,2,4,8114.548,2081.765314285714
2014-11-13,0.0,2014,11,13,3,4,1054.7612,2075.525314285714
2014-11-14,1034.73,2014,11,14,4,4,0.0,2016.3236
2014-11-15,1780.822,2014,11,15,5,4,1034.73,2223.0730285714285
2014-11-16,1355.9285,2014,11,16,6,4,1780.822,2191.9065285714287
2014-11-17,11544.274,2014,11,17,0,4,1355.9285,3555.0090999999998
2014-11-18,3406.855,2014,11,18,1,4,11544.274,2882.4815285714285
2014-11-19,7226.086,2014,11,19,2,4,3406.855,3764.0993571428576
2014-11-20,907.5600000000001,2014,11,20,3,4,7226.086,3893.7507857142855
2014-11-21,1249.622,2014,11,21,4,4,907.5600000000001,3924.449642857143
2014-11-22,1103.298,2014,11,22,5,4,1249.622,3827.6605000000004
2014-11-23,1363.28,2014,11,23,6,4,1103.298,3828.7107142857144
2014-11-24,5578.606,2014,11,24,0,4,1363.28,2976.4724285714287
2014-11-25,4415.695,2014,11,25,1,4,5578.606,3120.5924285714286
2014-11-26,1705.99,2014,11,26,2,4,4415.695,2332.0072857142854
2014-11-27,203.66,2014,11,27,3,4,1705.99,2231.450142857143
2014-11-28,2280.83,2014,11,28,4,4,203.66,2378.7655714285715
2014-11-29,649.044,2014,11,29,5,4,2280.83,2313.872142857143
2014-11-30,219.154,2014,11,30,6,4,649.044,2150.4255714285714
2014-12-01,5624.39,2014,12,1,0,4,219.154,2156.9661428571426
2014-12-02,1771.808,2014,12,2,1,4,5624.39,1779.268
2014-12-03,505.88,2014,12,3,2,4,1771.808,1607.8237142857142
2014-12-04,129.98,2014,12,4,3,4,505.88,1597.2980000000002
2014-12-05,2963.642,2014,12,5,4,4,129.98,1694.8425714285715
2014-12-06,1970.978,2014,12,6,5,4,2963.642,1883.6902857142857
2014-12-07,548.4,2014,12,7,6,4,1970.978,1930.7254285714284
2014-12-08,1095.12,2014,12,8,0,4,548.4,1283.6868571428572
2014-12-09,1522.652,2014,12,9,1,4,1095.12,1248.0931428571428
2014-12-10,573.336,2014,12,10,2,4,1522.652,1257.7297142857144
2014-12-11,0.0,2014,12,11,3,4,573.336,1239.1611428571427
2014-12-12,4938.4045,2014,12,12,4,4,0.0,1521.2700714285713
2014-12-13,293.152,2014,12,13,5,4,4938.4045,1281.580642857143
2014-12-14,7641.658,2014,12,14,6,4,293.152,2294.9032142857145
2014-12-15,1264.466,2014,12,15,0,4,7641.658,2319.0955
2014-12-16,4394.187,2014,12,16,1,4,1264.466,2729.314785714286
2014-12-17,45.534,2014,12,17,2,4,4394.187,2653.9145
2014-12-18,0.0,2014,12,18,3,4,45.534,2653.9145
2014-12-19,3436.7599999999998,2014,12,19,4,4,0.0,2439.3938571428566
2014-12-20,6962.4400000000005,2014,12,20,5,4,3436.7599999999998,3392.149285714286
2014-12-21,1933.44,2014,12,21,6,4,6962.4400000000005,2576.689571428571
2014-12-22,798.968,2014,12,22,0,4,1933.44,2510.189857142857
2014-12-23,942.108,2014,12,23,1,4,798.968,2017.0357142857142
2014-12-24,1950.202,2014,12,24,2,4,942.108,2289.131142857143
2014-12-25,0.0,2014,12,25,3,4,1950.202,2289.131142857143
2014-12-26,2041.414,2014,12,26,4,4,0.0,2089.796
2014-12-27,2966.388,2014,12,27,5,4,2041.414,1518.9314285714286
2014-12-28,3732.2960000000003,2014,12,28,6,4,2966.388,1775.9108571428571
2014-12-29,2072.096,2014,12,29,0,4,3732.2960000000003,1957.786285714286
2014-12-30,2172.6510000000003,2014,12,30,1,4,2072.096,2133.578142857143
2014-12-31,5253.2699999999995,2014,12,31,2,4,2172.6510000000003,2605.445
2015-01-01,0.0,2015,1,1,3,1,5253.2699999999995,2605.445
2015-01-02,1932.096,2015,1,2,4,1,0.0,2589.8281428571427
2015-01-03,1768.2215999999999,2015,1,3,5,1,1932.096,2418.6615142857145
2015-01-04,264.46000000000004,2015,1,4,6,1,1768.2215999999999,1923.2563714285714
2015-01-05,295.272,2015,1,5,0,1,264.46000000000004,1669.4243714285712
2015-01-06,31.538,2015,1,6,1,1,295.272,1363.5510857142856
2015-01-07,0.0,2015,1,7,2,1,31.538,613.0839428571428
2015-01-08,0.0,2015,1,8,3,1,0.0,613.0839428571428
2015-01-09,364.07,2015,1,9,4,1,0.0,389.08022857142856
2015-01-10,1018.104,2015,1,10,5,1,364.07,281.9205714285714
2015-01-11,0.0,2015,1,11,6,1,1018.104,244.1405714285714
2015-01-12,854.614,2015,1,12,0,1,0.0,324.04657142857144
2015-01-13,622.278,2015,1,13,1,1,854.614,408.43800000000005
2015-01-14,0.0,2015,1,14,2,1,622.278,408.43800000000005
2015-01-15,0.0,2015,1,15,3,1,0.0,408.43800000000005
2015-01-16,0.0,2015,1,16,4,1,0.0,356.428
2015-01-17,350.384,2015,1,17,5,1,0.0,261.03942857142863
2015-01-18,0.0,2015,1,18,6,1,350.384,261.03942857142863
2015-01-19,301.742,2015,1,19,0,1,0.0,182.0577142857143
2015-01-20,0.0,2015,1,20,1,1,301.742,93.16085714285714
2015-01-21,0.0,2015,1,21,2,1,0.0,93.16085714285714
2015-01-22,0.0,2015,1,22,3,1,0.0,93.16085714285714
2015-01-23,43.66,2015,1,23,4,1,0.0,99.39800000000001
2015-01-24,13.12,2015,1,24,5,1,43.66,51.21742857142857
2015-01-25,0.0,2015,1,25,6,1,13.12,51.21742857142857
2015-01-26,182.72,2015,1,26,0,1,0.0,34.214285714285715
2015-01-27,3573.252,2015,1,27,1,1,182.72,544.6788571428572
2015-01-28,4297.644,2015,1,28,2,1,3573.252,1158.6280000000002
2015-01-29,0.0,2015,1,29,3,1,4297.644,1158.6280000000002
2015-01-30,2161.6400000000003,2015,1,30,4,1,0.0,1461.1965714285714
